House_ID,Sale_Price,Story,Total_SF ,Ext_Walls,Finish_SF_Attic,Finish_SF_Basement,Num_Stall_Garage,Has_Lake_Front,Sim
389,149212,1 Story,1736,Brick,0,1258,2,No,0.97045
390,103558,1 Story,1760,Brick,0,682,2,No,0.87626
391,131242,2 Story,1767,Brick,0,0,2,No,0.78207
392,145711,1 Story,1802,Brick,0,630,2,No,0.19177
393,143873,1 Story,1891,Brick,0,375,2,No,0.00192
394,144903,1 Story,1916,Brick,0,500,2,No,0.57691
395,130088,1 Story,1917,Brick,0,763,2,No,0.16983
396,135263,1 Story,1960,Brick,0,0,2,No,0.50662
397,158463,2 Story,1984,Brick,0,0,2,No,0.51156
398,133847,2 Story,2033,Brick,0,0,2,No,0.7294
399,176905,1 Story,2057,Brick,0,849,2,No,0.78217
400,165010,2 Story,2095,Brick,0,600,2,No,0.1214
401,139951,1 Story,2115,Brick,0,0,2,Yes,0.16373
402,150184,1 Story,2118,Brick,0,0,2,No,0.08529
403,217597,1 Story,2121,Brick,0,1691,3,Yes,0.32631
404,139717,2 Story,2162,Brick,0,650,3,No,0.91096
405,131191,1 Story,2163,Brick,0,456,2,No,0.15365
406,148590,1 Story,2164,Brick,0,0,2,No,0.76845
407,163350,1 Story,2182,Brick,0,939,2,No,0.70145
408,167004,1 Story,2184,Brick,0,670,2,No,0.12084
409,162593,1 Story,2195,Brick,0,0,2,No,0.23616
410,150000,1 Story,2210,Brick,0,425,2,No,0.87029
411,156013,1 Story,2213,Brick,0,800,2,No,0.99734
412,181517,1 Story,2215,Brick,0,700,3,No,0.98051
413,141573,1 Story,2217,Brick,0,600,2,No,0.61425
414,147803,1 Story,2232,Brick,0,670,2,No,0.10938
415,189699,1 Story,2260,Brick,0,450,3,Yes,0.62836
416,149043,2 Story,2286,Brick,0,0,2,No,0.7332
417,189872,1 Story,2295,Brick,0,1080,2,No,0.1542
418,180230,1 Story,2392,Brick,0,1028,3,Yes,0.47908
419,205359,1 Story,2401,Brick,0,700,2,Yes,0.35382
420,188928,1 Story,2402,Brick,0,875,2,Yes,0.18997
421,185200,1 Story,2564,Brick,0,0,2,Yes,0.41758
422,133039,2 Story,2566,Brick,0,730,2,No,0.37271
423,190112,2 Story,2586,Brick,0,484,2,No,0.44864
424,197631,1 Story,2608,Brick,0,594,2,Yes,0.98945
425,156456,2 Story,2609,Brick,0,0,3,No,0.63541
426,252433,1 Story,2615,Brick,0,0,3,Yes,0.83129
427,201335,1 Story,2652,Brick,0,1290,3,Yes,0.78652
428,194397,1 Story,2786,Brick,0,1000,2,Yes,0.15387
429,217754,2 Story,2982,Brick,0,796,2,Yes,0.9149
430,65035,1 Story,616,Brick,277,0,2,No,0.17664
431,44267,1 Story,656,Brick,0,0,2,No,0.97931
432,38532,1 Story,672,Brick,0,0,0,No,0.79003
433,46481,1 Story,731,Brick,322,0,0,No,0.26997
434,41827,1 Story,754,Brick,0,0,0,No,0.99152
435,67037,1 Story,768,Brick,0,0,2,No,0.05361
436,51766,1 Story,792,Brick,0,0,0,No,0.64352
